X,Y,Resistivity,Chargeability
33.75,-6.716,180.21,2.29
36.25,-6.716,180.54,2.14
38.75,-6.716,179.78,1.96
41.25,-6.716,195.13,1.84
43.75,-6.716,187.47,1.86
46.25,-6.716,61.79,2.08
48.75,-6.716,79.45,2.11
51.25,-6.716,157.95,2.04
53.75,-6.716,91.41,2.12
56.25,-6.716,66.49,2.06
58.75,-6.716,74.23,1.92
61.25,-6.716,96.7,1.83
63.75,-6.716,128.96,1.84
66.25,-6.716,159.83,1.97
68.75,-6.716,160.71,2.16
71.25,-6.716,116.13,2.32
73.75,-6.716,49.91,2.36
76.25,-6.716,99.37,2.4
78.75,-6.716,203.93,2.39
81.25,-6.716,274.18,2.29
83.75,-6.716,289.06,2.17
86.25,-6.716,315.25,2
91.25,-6.716,315.25,2
96.25,-6.716,315.25,2
3.75,-8.638,187.47,2.05
11.25,-8.638,187.47,2.05
18.75,-8.638,187.47,2.05
21.25,-8.638,206.4,1.98
23.75,-8.638,206.98,1.99
26.25,-8.638,198.71,2.09
28.75,-8.638,184.83,2.22
31.25,-8.638,176.14,2.33
33.75,-8.638,177.63,2.31
36.25,-8.638,182,2.15
38.75,-8.638,179.41,1.95
41.25,-8.638,161.37,1.83
43.75,-8.638,117.53,1.82
46.25,-8.638,64.67,1.92
48.75,-8.638,98.41,1.9
51.25,-8.638,177.46,1.84
53.75,-8.638,119.6,1.89
56.25,-8.638,66.89,1.92
58.75,-8.638,52.88,1.88
61.25,-8.638,57.69,1.86
63.75,-8.638,73.75,1.91
66.25,-8.638,95.48,2.06
68.75,-8.638,106.15,2.24
71.25,-8.638,86.87,2.37
73.75,-8.638,66,1.39
76.25,-8.638,102.26,2.45
78.75,-8.638,159.73,2.45
81.25,-8.638,271.03,2.34
88.75,-8.638,271.03,2.34
96.25,-8.638,271.03,2.34
3.75,-10.752,144.81,2.19
13.75,-10.752,144.81,2.19
23.75,-10.752,144.81,2.19
26.25,-10.752,148.6,2.24
28.75,-10.752,150.17,2.3
31.25,-10.752,157.67,2.33
33.75,-10.752,168.04,2.28
36.25,-10.752,174.72,2.13
38.75,-10.752,161.44,1.96
41.25,-10.752,122.74,1.85
43.75,-10.752,81.93,1.82
46.25,-10.752,66.1,1.82
48.75,-10.752,114.11,1.77
51.25,-10.752,216.96,1.7
53.75,-10.752,204.59,1.72
56.25,-10.752,131.72,1.76
58.75,-10.752,94.28,1.8
61.25,-10.752,87.13,1.84
63.75,-10.752,97.7,1.93
66.25,-10.752,116.94,2.06
68.75,-10.752,129.03,2.2
71.25,-10.752,121.74,2.31
73.75,-10.752,122.54,2.35
76.25,-10.752,176.64,2.44
86.25,-10.752,176.64,2.44
96.25,-10.752,176.64,2.44
3.75,-13.077,123.51,2.34
16.25,-13.077,123.51,2.34
28.75,-13.077,123.51,2.34
31.25,-13.077,146.72,2.3
33.75,-13.077,160.22,2.25
36.25,-13.077,162.54,2.15
38.75,-13.077,138.51,2.01
41.25,-13.077,93.48,1.9
43.75,-13.077,61.95,1.85
46.25,-13.077,60.65,1.8
48.75,-13.077,113.17,1.71
51.25,-13.077,237.36,1.62
53.75,-13.077,309.91,1.61
56.25,-13.077,268.19,1.65
58.75,-13.077,221.23,1.71
61.25,-13.077,215.9,1.8
63.75,-13.077,252.03,1.91
